  Element 50: Sn      Atomic mass:  118.6900

  Edge          keV         A
    K        29.2001    0.4246
    L-I       4.4647    2.7770
    L-II      4.1561    2.9832
    L-III     3.9288    3.1558

Scattering factors as a function of energy: 

   1000.000      -10.51584       22.30617    
   1100.000      -8.663243       20.03055    
   1200.000      -7.399410       18.06472    
   1300.000      -6.549289       16.36553    
   1400.000      -5.932406       14.89137    
   1500.000      -5.517382       13.60258    
   1600.000      -5.222460       12.47553    
   1700.000      -5.045357       11.48155    
   1800.000      -4.929061       10.60126    
   1900.000      -4.872714       9.817336    
   2000.000      -4.983645       9.123964    
   2100.000      -5.010093       8.509688    
   2200.000      -5.067599       7.955694    
   2300.000      -5.152116       7.454147    
   2400.000      -5.260952       6.998472    
   2500.000      -5.392531       6.583121    
   2600.000      -5.550621       6.203469    
   2700.000      -5.726938       5.855549    
   2800.000      -5.927268       5.535733    
   2900.000      -6.197406       5.242746    
   3000.000      -6.474133       4.974489    
   3100.000      -6.762603       4.732171    
   3200.000      -7.091629       4.507943    
   3300.000      -7.472515       4.299990    
   3400.000      -7.922532       4.106722    
   3500.000      -8.469783       3.926747    
   3600.000      -9.165533       3.758887    
   3700.000      -10.11196       3.602045    
   3800.000      -11.59580       3.455227    
   3831.000      -12.29833       3.411611    
   3836.000      -12.43162       3.404657    
   3841.000      -12.57210       3.397725    
   3846.000      -12.72060       3.390815    
   3851.000      -12.87813       3.383928    
   3856.000      -13.04587       3.377062    
   3861.000      -13.22528       3.370218    
   3866.000      -13.41813       3.363395    
   3871.000      -13.62667       3.356595    
   3876.000      -13.85372       3.349815    
   3881.000      -14.10300       3.343057    
   3886.000      -14.37939       3.336321    
   3891.000      -14.68969       3.329605    
   3896.000      -15.04354       3.322911    
   3900.000      -15.36750       3.317571    
   3901.000      -15.45546       3.316238    
   3906.000      -15.94859       3.309586    
   3911.000      -16.56361       3.302954    
   3916.000      -17.38201       3.296344    
   3921.000      -18.61064       3.289754    
   3926.000      -21.15199       3.283184    
   3931.000      -21.76125       11.09898    
   3936.000      -18.79413       11.06655    
   3941.000      -17.47582       11.03434    
   3946.000      -16.62034       11.00233    
   3951.000      -15.98837       10.97054    
   3956.000      -15.48896       10.93896    
   3961.000      -15.07772       10.90758    
   3966.000      -14.72955       10.87640    
   3971.000      -14.42893       10.84543    
   3976.000      -14.16554       10.81466    
   3981.000      -13.93223       10.78409    
   3986.000      -13.72377       10.75371    
   3991.000      -13.53631       10.72353    
   3996.000      -13.36688       10.69355    
   4000.000      -13.24275       10.66970    
   4001.000      -13.21317       10.66376    
   4006.000      -13.07336       10.63415    
   4011.000      -12.94598       10.60474    
   4016.000      -12.82986       10.57552    
   4021.000      -12.72403       10.54648    
   4026.000      -12.62770       10.51763    
   4059.000      -12.19604       10.33174    
   4064.000      -12.15889       10.30424    
   4069.000      -12.12906       10.27692    
   4074.000      -12.10672       10.24977    
   4079.000      -12.09214       10.22279    
   4084.000      -12.08574       10.19598    
   4089.000      -12.08805       10.16933    
   4094.000      -12.09982       10.14286    
   4099.000      -12.12203       10.11654    
   4100.000      -12.12783       10.11130    
   4104.000      -12.15600       10.09039    
   4109.000      -12.20349       10.06440    
   4114.000      -12.26692       10.03857    
   4119.000      -12.34970       10.01290    
   4124.000      -12.45669       9.987393    
   4129.000      -12.59560       9.962039    
   4134.000      -12.77852       9.936843    
   4139.000      -13.02740       9.911798    
   4144.000      -13.38732       9.886909    
   4149.000      -13.97837       9.862170    
   4154.000      -15.41183       9.837585    
   4159.000      -14.95816       13.68305    
   4164.000      -13.65778       13.64741    
   4169.000      -12.99304       13.61199    
   4174.000      -12.53217       13.57680    
   4179.000      -12.17397       13.54182    
   4184.000      -11.87825       13.50707    
   4189.000      -11.62482       13.47253    
   4194.000      -11.40212       13.43821    
   4199.000      -11.20282       13.40410    
   4200.000      -11.16531       13.39730    
   4204.000      -11.02207       13.37020    
   4209.000      -10.85644       13.33652    
   4214.000      -10.70341       13.30304    
   4219.000      -10.56112       13.26978    
   4224.000      -10.42807       13.23671    
   4229.000      -10.30312       13.20386    
   4234.000      -10.18534       13.17120    
   4239.000      -10.07398       13.13875    
   4244.000      -9.968412       13.10650    
   4249.000      -9.868109       13.07444    
   4254.000      -9.772635       13.04258    
   4300.000      -9.070667       12.75847    
   4367.000      -8.463139       12.37204    
   4372.000      -8.435762       12.34443    
   4377.000      -8.411206       12.31699    
   4382.000      -8.389625       12.28971    
   4387.000      -8.371218       12.26259    
   4392.000      -8.356236       12.23563    
   4397.000      -8.344989       12.20883    
   4400.000      -8.340192       12.19283    
   4402.000      -8.337869       12.18219    
   4407.000      -8.335377       12.15571    
   4412.000      -8.338161       12.12938    
   4417.000      -8.347070       12.10321    
   4422.000      -8.363255       12.07720    
   4427.000      -8.388301       12.05134    
   4432.000      -8.424490       12.02563    
   4437.000      -8.475255       12.00007    
   4442.000      -8.546127       11.97466    
   4447.000      -8.646813       11.94940    
   4452.000      -8.796892       11.92429    
   4457.000      -9.046325       11.89933    
   4462.000      -9.617661       11.87451    
   4467.000      -9.670532       13.69790    
   4472.000      -8.947975       13.67189    
   4477.000      -8.599073       13.64602    
   4482.000      -8.357283       13.62031    
   4487.000      -8.167522       13.59473    
   4492.000      -8.008795       13.56930    
   4497.000      -7.870789       13.54401    
