  Element 38: Sr      Atomic mass:   87.6200

  Edge          keV         A
    K        16.1046    0.7699
    L-I       2.2163    5.5942
    L-II      2.0068    6.1782
    L-III     1.9396    6.3923

Scattering factors as a function of energy: 

   1000.000      -6.944886       6.956079    
   1100.000      -7.026948       6.148766    
   1200.000      -7.222778       5.479874    
   1300.000      -7.510138       4.918980    
   1400.000      -7.901817       4.443119    
   1500.000      -8.427589       4.035985    
   1600.000      -9.132936       3.684516    
   1700.000      -10.14056       3.378547    
   1800.000      -11.76916       3.110322    
   1842.000      -12.86662       3.007400    
   1847.000      -13.02807       2.995499    
   1852.000      -13.19842       2.983671    
   1857.000      -13.37868       2.971915    
   1862.000      -13.57004       2.960230    
   1867.000      -13.77392       2.948617    
   1872.000      -13.99203       2.937073    
   1877.000      -14.22649       2.925599    
   1882.000      -14.47991       2.914195    
   1887.000      -14.75562       2.902859    
   1892.000      -15.05791       2.891591    
   1897.000      -15.39252       2.880390    
   1900.000      -15.61193       2.873702    
   1902.000      -15.76726       2.869256    
   1907.000      -16.19331       2.858189    
   1909.000      -16.38158       2.853780    
   1912.000      -16.68737       2.847187    
   1914.000      -16.90953       2.842805    
   1917.000      -17.27619       2.836251    
   1919.000      -17.54763       2.831894    
   1922.000      -18.00661       2.825379    
   1924.000      -18.35668       2.821048    
   1927.000      -18.97318       2.814571    
   1929.000      -19.46931       2.810266    
   1932.000      -20.41835       2.803828    
   1934.000      -21.28383       2.799548    
   1937.000      -23.44253       2.793147    
   1939.000      -27.53885       2.788892    
   1942.000      -23.70655       11.53570    
   1944.000      -22.02983       11.51472    
   1947.000      -20.60916       11.48339    
   1949.000      -19.96575       11.46259    
   1952.000      -19.23447       11.43152    
   1954.000      -18.84846       11.41090    
   1957.000      -18.37248       11.38011    
   1959.000      -18.10718       11.35966    
   1962.000      -17.76904       11.32913    
   1964.000      -17.57646       11.30886    
   1967.000      -17.32852       11.27858    
   1969.000      -17.18711       11.25848    
   1972.000      -17.00675       11.22846    
   1974.000      -16.90608       11.20854    
   1977.000      -16.78279       11.17877    
   1979.000      -16.71866       11.15901    
   1982.000      -16.64986       11.12949    
   1984.000      -16.62304       11.10990    
   1987.000      -16.61411       11.08063    
   1989.000      -16.63168       11.06120    
   1992.000      -16.70079       11.03218    
   1994.000      -16.78246       11.01291    
   1997.000      -16.97964       10.98413    
   1999.000      -17.18424       10.96502    
   2000.000      -17.31937       10.95549    
   2002.000      -17.69322       10.93648    
   2004.000      -18.33127       10.91753    
   2007.000      -21.82285       15.21411    
   2009.000      -18.42080       15.18790    
   2012.000      -17.09700       15.14874    
   2014.000      -16.56034       15.12274    
   2017.000      -15.95324       15.08389    
   2019.000      -15.62494       15.05810    
   2022.000      -15.20404       15.01958    
   2024.000      -14.95783       14.99400    
   2027.000      -14.62628       14.95578    
   2029.000      -14.42523       14.93041    
   2032.000      -14.14754       14.89250    
   2034.000      -13.97571       14.86733    
   2037.000      -13.73495       14.82973    
   2039.000      -13.58399       14.80476    
   2044.000      -13.23504       14.74270    
   2049.000      -12.91969       14.68112    
   2054.000      -12.63163       14.62004    
   2059.000      -12.36633       14.55944    
   2064.000      -12.12047       14.49932    
   2069.000      -11.89147       14.43968    
   2074.000      -11.67734       14.38051    
   2079.000      -11.47646       14.32180    
   2084.000      -11.28754       14.26354    
   2089.000      -11.10952       14.20575    
   2094.000      -10.94151       14.14840    
   2099.000      -10.78278       14.09150    
   2100.000      -10.75209       14.08017    
   2104.000      -10.63272       14.03503    
   2119.000      -10.22982       13.86824    
   2124.000      -10.11017       13.81349    
   2129.000      -9.997454       13.75916    
   2134.000      -9.891546       13.70524    
   2139.000      -9.792401       13.65173    
   2144.000      -9.700033       13.59862    
   2149.000      -9.614568       13.54591    
   2154.000      -9.536215       13.49360    
   2159.000      -9.465336       13.44168    
   2164.000      -9.402446       13.39015    
   2169.000      -9.348306       13.33900    
   2174.000      -9.303989       13.28824    
   2179.000      -9.271067       13.23785    
   2184.000      -9.251851       13.18783    
   2189.000      -9.249926       13.13818    
   2194.000      -9.271150       13.08889    
   2199.000      -9.326004       13.03996    
   2200.000      -9.342568       13.03022    
   2204.000      -9.436042       12.99140    
   2209.000      -9.657959       12.94318    
   2214.000      -10.26724       12.89532    
   2219.000      -10.07675       14.76534    
   2224.000      -9.345300       14.71371    
   2229.000      -8.951449       14.66245    
   2234.000      -8.663010       14.61159    
   2239.000      -8.427603       14.56110    
   2244.000      -8.224662       14.51098    
   2249.000      -8.043894       14.46124    
   2254.000      -7.879432       14.41187    
   2259.000      -7.727560       14.36286    
   2264.000      -7.585808       14.31421    
   2269.000      -7.452408       14.26592    
   2274.000      -7.326086       14.21798    
   2279.000      -7.205849       14.17040    
   2284.000      -7.090949       14.12316    
   2289.000      -6.980767       14.07626    
   2294.000      -6.874823       14.02971    
   2299.000      -6.772699       13.98349    
   2300.000      -6.752705       13.97428    
   2304.000      -6.674066       13.93760    
   2309.000      -6.578626       13.89205    
   2314.000      -6.486140       13.84682    
   2400.000      -5.214372       13.11722    
   2500.000      -4.190253       12.37107    
   2600.000      -3.305802       11.68135    
   2700.000      -2.657175       11.04028    
   2800.000      -2.171067       10.45848    
   2900.000      -1.715324       9.926167    
   3000.000      -1.383330       9.421013    
   3100.000      -1.109393       8.954660    
