  Element 73: Ta      Atomic mass:  180.9479

  Edge          keV         A
    K        67.4164    0.1839
    L-I      11.6815    1.0614
    L-II     11.1361    1.1134
    L-III     9.8811    1.2548
    M1        2.7080    4.5784
    M2        2.4687    5.0222
    M3        2.1940    5.6511
    M4        1.7932    6.9141
    M5        1.7351    7.1457

Scattering factors as a function of energy: 

   1000.000      -27.72336       14.38783    
   1100.000      -27.63776       13.24299    
   1200.000      -27.90856       12.23304    
   1300.000      -28.57364       11.33569    
   1400.000      -29.75089       10.53353    
   1500.000      -31.74843       9.812631    
   1600.000      -35.70881       9.161734    
   1638.000      -38.80198       8.931546    
   1643.000      -39.36412       8.901980    
   1648.000      -39.98237       8.872560    
   1653.000      -40.66648       8.843281    
   1658.000      -41.42850       8.814145    
   1663.000      -42.28356       8.785151    
   1668.000      -43.25082       8.756296    
   1673.000      -44.35491       8.727582    
   1678.000      -45.62798       8.699005    
   1683.000      -47.11274       8.670567    
   1688.000      -48.86713       8.642263    
   1693.000      -50.97167       8.614097    
   1696.000      -52.44850       8.597261    
   1698.000      -53.54177       8.586065    
   1700.000      -54.73603       8.574889    
   1701.000      -55.37537       8.569310    
   1703.000      -56.74903       8.558167    
   1706.000      -59.08471       8.541492    
   1708.000      -60.86132       8.530402    
   1711.000      -63.93690       8.513806    
   1713.000      -66.32470       8.502769    
   1716.000      -70.56303       8.486252    
   1718.000      -73.95247       8.475266    
   1721.000      -80.20574       8.458828    
   1723.000      -85.45378       8.447895    
   1726.000      -95.83739       8.431535    
   1728.000      -105.4439       8.420653    
   1731.000      -128.1445       8.404370    
   1733.000      -157.6559       8.393539    
   1736.000      -198.1166       163.0224    
   1738.000      -132.5266       153.6196    
   1741.000      -91.85294       140.7049    
   1743.000      -75.65365       132.8196    
   1746.000      -58.86983       121.9720    
   1748.000      -50.82289       115.3387    
   1751.000      -41.85732       106.2000    
   1753.000      -37.41580       100.6033    
   1756.000      -32.47612       92.88129    
   1758.000      -30.10697       88.14516    
   1761.000      -27.67366       81.60101    
   1763.000      -26.69170       77.58140    
   1766.000      -26.05579       72.01927    
   1768.000      -26.14639       68.59789    
   1771.000      -27.02341       63.85679    
   1773.000      -28.11077       60.93624    
   1776.000      -30.56584       56.88345    
   1778.000      -32.83681       54.38336    
   1781.000      -37.46374       50.90916    
   1783.000      -41.64669       48.76299    
   1786.000      -50.54179       45.77647    
   1788.000      -59.50495       43.92899    
   1791.000      -85.04507       41.35462    
   1793.000      -161.5833       39.75990    
   1796.000      -70.96394       137.1337    
   1798.000      -49.86262       129.8507    
   1800.000      -36.42632       123.0380    
   1801.000      -31.27284       119.7973    
   1803.000      -23.00216       113.6283    
   1806.000      -14.04102       105.1002    
   1808.000      -9.621788       99.85940    
   1811.000      -4.601799       92.60393    
   1813.000      -2.065075       88.13873    
   1816.000      0.8300616       81.94814    
   1818.000       2.279205       78.13279    
   1821.000       3.883960       72.83569    
   1823.000       4.655636       69.56636    
   1826.000       5.443201       65.02097    
   1828.000       5.767292       62.21166    
   1831.000       6.010705       58.30043    
   1833.000       6.038679       55.87970    
   1836.000       5.917640       52.50487    
   1841.000       5.380877       47.49335    
   1846.000       4.548070       43.14814    
   1851.000       3.521661       39.37064    
   1856.000       2.373565       36.07809    
   1861.000       1.134671       33.20088    
   1866.000     -0.1193376       30.68024    
   1871.000      -1.382884       28.46649    
   1876.000      -2.638249       26.51745    
   1881.000      -3.871556       24.79734    
   1886.000      -5.080471       23.27568    
   1891.000      -6.253438       21.92647    
   1900.000      -8.271451       19.86348    
   2000.000      -24.22676       11.22143    
   2097.000      -36.61876       10.32886    
   2100.000      -37.06186       10.35048    
   2102.000      -37.36129       10.36660    
   2107.000      -38.12476       10.41305    
   2112.000      -38.91117       10.46856    
   2117.000      -39.72276       10.53358    
   2122.000      -40.56187       10.60857    
   2127.000      -41.43122       10.69413    
   2132.000      -42.33372       10.79085    
   2137.000      -43.27281       10.89947    
   2142.000      -44.25228       11.02077    
   2147.000      -45.27680       11.15565    
   2152.000      -46.35178       11.30510    
   2157.000      -47.48420       11.47025    
   2162.000      -48.68290       11.65231    
   2167.000      -49.96037       11.85267    
   2172.000      -51.33489       12.07283    
   2177.000      -52.83726       12.31452    
   2182.000      -54.52731       12.57959    
   2187.000      -56.56012       12.87015    
   2192.000      -59.72881       13.18851    
   2197.000      -60.45619       18.28470    
   2200.000      -60.24154       18.49428    
   2202.000      -60.37917       18.64107    
   2207.000      -61.13535       19.03440    
   2212.000      -62.21997       19.46821    
   2217.000      -63.51767       19.94648    
   2222.000      -64.98649       20.47357    
   2227.000      -66.60964       21.05446    
   2232.000      -68.38129       21.69462    
   2237.000      -70.30161       22.40014    
   2242.000      -72.37481       23.17795    
   2247.000      -74.60751       24.03566    
   2252.000      -77.00913       24.98195    
   2257.000      -34.85680       25.75000    
   2262.000      -35.55740       25.84129    
   2267.000      -35.81756       25.94851    
   2272.000      -36.35779       26.07305    
   2277.000      -36.94392       26.21652    
   2282.000      -37.57821       26.38072    
   2287.000      -38.26316       26.56762    
   2292.000      -39.00183       26.77948    
   2300.000      -40.30383       27.17659    
   2371.000      -16.41666       28.86838    
   2376.000      -16.34053       28.77407    
   2381.000      -16.26831       28.68041    
   2386.000      -16.20012       28.58740    
   2391.000      -16.13612       28.49503    
