  Element 65: Tb      Atomic mass:  158.9254

  Edge          keV         A
    K        51.9957    0.2385
    L-I       8.7080    1.4238
    L-II      8.2516    1.5025
    L-III     7.5140    1.6500
    M1        1.9675    6.3016
    M2        1.7677    7.0139
    M3        1.6113    7.6947
    M4        1.2750    9.7243
    M5        1.2412    9.9891

Scattering factors as a function of energy: 

   1000.000      -32.23664       8.614807    
   1100.000      -35.58653       7.992572    
   1144.000      -38.67718       7.736035    
   1149.000      -39.18267       7.707601    
   1154.000      -39.73918       7.679298    
   1159.000      -40.35605       7.651128    
   1164.000      -41.04504       7.623090    
   1169.000      -41.82110       7.595183    
   1174.000      -42.70355       7.567406    
   1178.000      -43.50282       7.545279    
   1179.000      -43.71764       7.539760    
   1183.000      -44.64589       7.517735    
   1184.000      -44.89696       7.512242    
   1188.000      -45.98941       7.490320    
   1189.000      -46.28700       7.484852    
   1193.000      -47.59225       7.463033    
   1194.000      -47.95071       7.457591    
   1198.000      -49.53749       7.435874    
   1199.000      -49.97739       7.430457    
   1200.000      -50.43684       7.425045    
   1203.000      -51.94586       7.408841    
   1204.000      -52.49767       7.403450    
   1208.000      -54.99914       7.381935    
   1209.000      -55.70982       7.376568    
   1213.000      -58.98378       7.355154    
   1214.000      -59.92950       7.349813    
   1218.000      -64.37843       7.328497    
   1219.000      -65.69221       7.323182    
   1223.000      -72.05323       7.301966    
   1224.000      -73.99128       7.296675    
   1228.000      -83.79952       7.275558    
   1229.000      -86.94106       7.270292    
   1233.000      -104.1869       7.249273    
   1234.000      -110.2885       7.244031    
   1238.000      -152.1730       7.223111    
   1239.000      -173.1365       7.217894    
   1243.000      -173.1205       196.7103    
   1244.000      -140.2087       187.9452    
   1248.000      -76.86234       157.1650    
   1249.000      -68.18286       150.4252    
   1253.000      -46.09136       126.6836    
   1254.000      -42.75248       121.4680    
   1258.000      -35.13445       103.0389    
   1259.000      -34.41087       98.97730    
   1263.000      -35.56974       84.58238    
   1264.000      -36.88774       81.39950    
   1268.000      -47.44881       70.08674    
   1269.000      -51.95969       67.57748    
   1273.000      -90.20020       58.63270    
   1274.000      -117.0497       56.64260    
   1278.000      -60.47062       169.3291    
   1279.000      -46.15661       162.3489    
   1283.000      -13.94417       137.6604    
   1284.000      -9.135693       132.2121    
   1288.000       3.673285       112.8836    
   1289.000       5.754123       108.6046    
   1293.000       11.26777       93.37902    
   1294.000       12.11447       89.99790    
   1298.000       14.06325       77.93172    
   1299.000       14.27004       75.24401    
   1300.000       14.38962       72.67537    
   1303.000       14.31555       65.62469    
   1304.000       14.17528       63.47558    
   1308.000       13.18537       55.76208    
   1309.000       12.85489       54.03369    
   1313.000       11.30914       47.81290    
   1314.000       10.88038       46.41496    
   1318.000       9.059786       41.36976    
   1319.000       8.586296       40.23279    
   1323.000       6.656829       36.11844    
   1324.000       6.170325       35.18867    
   1328.000       4.230065       31.81529    
   1329.000       3.749160       31.05091    
   1333.000       1.854940       28.27044    
   1334.000       1.390211       27.63874    
   1338.000     -0.4271032       25.33509    
   1339.000     -0.8696786       24.81045    
   1343.000      -2.593450       22.89232    
   1348.000      -4.637059       20.84944    
   1353.000      -6.557069       19.13288    
   1358.000      -8.357694       17.68389    
   1363.000      -10.04582       16.45536    
   1368.000      -11.62971       15.40933    
   1373.000      -13.11821       14.51512    
   1400.000      -19.87106       11.43613    
   1500.000      -38.94803       9.267403    
   1514.000      -42.13458       9.505905    
   1519.000      -43.36892       9.627081    
   1524.000      -44.66371       9.769911    
   1529.000      -46.02593       9.936548    
   1534.000      -47.46328       10.12953    
   1539.000      -48.98431       10.35180    
   1544.000      -50.59856       10.60685    
   1549.000      -52.31672       10.89869    
   1554.000      -54.15083       11.23203    
   1559.000      -56.11457       11.61235    
   1564.000      -58.22356       12.04603    
   1569.000      -60.49580       12.54053    
   1574.000      -62.95230       13.10455    
   1579.000      -65.61803       13.74826    
   1584.000      -68.52340       14.48358    
   1589.000      -71.70710       15.32449    
   1594.000      -75.22839       16.28745    
   1599.000      -79.15781       17.39178    
   1600.000      -80.00536       17.63156    
   1604.000      -83.67252       18.66025    
   1609.000      -89.46826       20.11978    
   1614.000      -43.40019       26.20994    
   1619.000      -42.92393       26.41713    
   1624.000      -43.35313       26.67028    
   1629.000      -44.14437       26.97616    
   1634.000      -45.18552       27.34269    
   1639.000      -46.44233       27.77919    
   1644.000      -47.90733       28.29660    
   1649.000      -49.58609       28.90786    
   1654.000      -51.49220       29.62823    
   1659.000      -19.31335       30.16069    
   1664.000      -19.07904       30.01334    
   1669.000      -18.86251       29.86762    
   1670.000      -18.82114       29.83867    
   1674.000      -18.66157       29.72349    
   1675.000      -18.62309       29.69485    
   1679.000      -18.47454       29.58093    
   1680.000      -18.43869       29.55261    
   1684.000      -18.30017       29.43992    
   1685.000      -18.26672       29.41191    
   1689.000      -18.13749       29.30044    
   1690.000      -18.10629       29.27272    
   1694.000      -17.98581       29.16246    
   1695.000      -17.95674       29.13504    
   1699.000      -17.84464       29.02596    
   1700.000      -17.81764       28.99884    
   1704.000      -17.71371       28.89092    
   1705.000      -17.68875       28.86408    
   1709.000      -17.59295       28.75732    
   1710.000      -17.57002       28.73077    
   1715.000      -17.46165       28.59886    
   1720.000      -17.36409       28.46835    
   1725.000      -17.27815       28.33921    
   1730.000      -17.20513       28.21142    
