  Element 43: Tc      Atomic mass:   98.0000

  Edge          keV         A
    K        21.0440    0.5892
    L-I       3.0425    4.0751
    L-II      2.7932    4.4388
    L-III     2.6769    4.6316

Scattering factors as a function of energy: 

   1000.000      -6.733704       11.91842    
   1100.000      -6.343284       10.58315    
   1200.000      -6.124069       9.467503    
   1300.000      -6.025888       8.523942    
   1400.000      -6.015927       7.717590    
   1500.000      -6.075582       7.022106    
   1600.000      -6.193362       6.417406    
   1700.000      -7.541361       5.887888    
   1800.000      -6.640210       5.427460    
   1900.000      -6.915162       5.022734    
   2000.000      -7.248951       4.662992    
   2100.000      -7.655157       4.341607    
   2200.000      -8.165584       4.053257    
   2300.000      -8.805484       3.794306    
   2400.000      -9.664134       3.560071    
   2500.000      -10.93201       3.347424    
   2579.000      -12.60726       3.192944    
   2584.000      -12.75472       3.183538    
   2589.000      -12.91009       3.174174    
   2594.000      -13.07428       3.164852    
   2599.000      -13.24834       3.155573    
   2600.000      -13.28444       3.153722    
   2604.000      -13.43357       3.146335    
   2609.000      -13.63150       3.137139    
   2614.000      -13.84404       3.127984    
   2619.000      -14.07355       3.118870    
   2624.000      -14.32306       3.109796    
   2629.000      -14.59645       3.100764    
   2634.000      -14.89892       3.091771    
   2639.000      -15.23759       3.082818    
   2644.000      -15.62263       3.073905    
   2649.000      -16.06919       3.065032    
   2654.000      -16.60158       3.056197    
   2659.000      -17.26210       3.047403    
   2664.000      -18.13554       3.038646    
   2669.000      -19.43520       3.029928    
   2674.000      -22.07525       3.021249    
   2679.000      -22.94147       11.26401    
   2684.000      -19.74549       11.22137    
   2689.000      -18.36368       11.17921    
   2694.000      -17.48240       11.13752    
   2696.000      -17.20481       11.12097    
   2699.000      -16.84311       11.09629    
   2700.000      -16.73453       11.08809    
   2701.000      -16.63117       11.07992    
   2704.000      -16.34839       11.05551    
   2706.000      -16.17955       11.03933    
   2709.000      -15.95106       11.01519    
   2711.000      -15.81310       10.99919    
   2714.000      -15.62479       10.97531    
   2716.000      -15.51034       10.95948    
   2719.000      -15.35347       10.93587    
   2721.000      -15.25790       10.92022    
   2724.000      -15.12680       10.89687    
   2726.000      -15.04700       10.88139    
   2729.000      -14.93791       10.85830    
   2731.000      -14.87186       10.84299    
   2734.000      -14.78229       10.82015    
   2736.000      -14.72868       10.80501    
   2739.000      -14.65712       10.78242    
   2741.000      -14.61521       10.76744    
   2744.000      -14.56095       10.74510    
   2746.000      -14.53051       10.73029    
   2749.000      -14.49358       10.70820    
   2751.000      -14.47491       10.69355    
   2754.000      -14.45618       10.67169    
   2756.000      -14.45019       10.65721    
   2759.000      -14.45164       10.63559    
   2761.000      -14.46011       10.62126    
   2764.000      -14.48528       10.59988    
   2766.000      -14.51134       10.58571    
   2769.000      -14.56648       10.56456    
   2771.000      -14.61566       10.55054    
   2774.000      -14.71216       10.52963    
   2776.000      -14.79503       10.51576    
   2781.000      -15.09547       10.48136    
   2786.000      -15.64004       10.44733    
   2791.000      -17.04266       10.41368    
   2796.000      -16.60224       14.45982    
   2800.000      -15.34556       14.42066    
   2801.000      -15.14248       14.41093    
   2806.000      -14.38020       14.36264    
   2811.000      -13.84020       14.31495    
   2816.000      -13.41313       14.26784    
   2821.000      -13.05548       14.22130    
   2826.000      -12.74548       14.17533    
   2831.000      -12.47054       14.12993    
   2836.000      -12.22274       14.08508    
   2841.000      -11.99671       14.04078    
   2846.000      -11.78868       13.99702    
   2851.000      -11.59583       13.95380    
   2856.000      -11.41606       13.91112    
   2861.000      -11.24769       13.86895    
   2866.000      -11.08943       13.82731    
   2871.000      -10.94020       13.78617    
   2876.000      -10.79913       13.74555    
   2881.000      -10.66549       13.70542    
   2886.000      -10.53868       13.66579    
   2891.000      -10.41818       13.62665    
   2900.000      -10.21583       13.55741    
   2945.000      -9.434852       13.23371    
   2950.000      -9.369066       13.19996    
   2955.000      -9.307363       13.16664    
   2960.000      -9.249812       13.13374    
   2965.000      -9.196544       13.10125    
   2970.000      -9.147736       13.06918    
   2975.000      -9.103645       13.03752    
   2980.000      -9.064609       13.00627    
   2985.000      -9.031087       12.97541    
   2990.000      -9.003693       12.94495    
   2995.000      -8.983255       12.91489    
   3000.000      -8.970914       12.88521    
   3005.000      -8.965462       12.85150    
   3010.000      -8.972170       12.81787    
   3015.000      -8.994595       12.78435    
   3020.000      -9.038456       12.75093    
   3025.000      -9.113886       12.71762    
   3030.000      -9.241479       12.68442    
   3035.000      -9.474604       12.65133    
   3040.000      -10.06093       12.61834    
   3045.000      -9.990701       14.47251    
   3050.000      -9.260033       14.43715    
   3055.000      -8.884385       14.40190    
   3060.000      -8.615005       14.36677    
   3065.000      -8.398107       14.33176    
   3070.000      -8.212883       14.29687    
   3075.000      -8.049019       14.26209    
   3080.000      -7.900669       14.22743    
   3085.000      -7.764158       14.19288    
   3090.000      -7.637057       14.15846    
   3095.000      -7.517638       14.12414    
   3100.000      -7.404659       14.08994    
   3105.000      -7.297167       14.05585    
   3110.000      -7.194439       14.02188    
   3115.000      -7.095890       13.98802    
   3120.000      -7.001061       13.95428    
   3125.000      -6.909564       13.92064    
   3130.000      -6.821084       13.88712    
   3135.000      -6.735360       13.85371    
   3140.000      -6.652156       13.82041    
   3200.000      -5.798848       13.42931    
   3300.000      -4.736956       12.81089    
