  Element 90: Th      Atomic mass:  232.0381

  Edge          keV         A
    K       109.6509    0.1131
    L-I      20.4721    0.6056
    L-II     19.6932    0.6296
    L-III    16.3003    0.7606
    M1        5.1823    2.3925
    M2        4.8304    2.5667
    M3        4.0461    3.0643
    M4        3.4908    3.5517
    M5        3.3320    3.7210
    N1        1.3295    9.3256
    N2        1.1682   10.6133

Scattering factors as a function of energy: 

   1000.000      -35.76466       35.16270    
   1100.000      -31.66835       32.74503    
   1200.000      -29.04629       30.80809    
   1232.000      -28.33860       30.08048    
   1237.000      -28.22849       29.96870    
   1242.000      -28.12122       29.85736    
   1247.000      -28.01674       29.74644    
   1252.000      -27.91500       29.63596    
   1257.000      -27.81601       29.52591    
   1262.000      -27.71976       29.41630    
   1267.000      -27.62634       29.30713    
   1272.000      -27.53582       29.19840    
   1277.000      -27.44836       29.09012    
   1282.000      -27.36415       28.98228    
   1287.000      -27.28350       28.87488    
   1292.000      -27.20685       28.76792    
   1297.000      -27.13482       28.66142    
   1300.000      -27.09422       28.59773    
   1302.000      -27.06841       28.55536    
   1307.000      -27.00923       28.44975    
   1312.000      -26.96011       28.34459    
   1317.000      -26.92686       28.23989    
   1322.000      -26.92452       28.13563    
   1327.000      -27.02295       28.03183    
   1332.000      -26.93683       28.46141    
   1337.000      -26.66600       28.35958    
   1342.000      -26.86671       28.25908    
   1347.000      -26.72973       28.16194    
   1352.000      -26.60820       28.06525    
   1357.000      -26.49629       27.96902    
   1362.000      -26.39110       27.87325    
   1367.000      -26.29100       27.77793    
   1372.000      -26.19494       27.68306    
   1377.000      -26.10224       27.58863    
   1382.000      -26.32055       27.49737    
   1387.000      -26.23499       27.40695    
   1392.000      -26.15160       27.31698    
   1397.000      -26.07020       27.22748    
   1400.000      -26.02223       27.17400    
   1402.000      -25.99059       27.13843    
   1407.000      -25.91266       27.04984    
   1412.000      -25.83629       26.96170    
   1417.000      -25.76137       26.87401    
   1422.000      -25.68784       26.78676    
   1427.000      -25.61561       26.69996    
   1500.000      -24.68266       25.48162    
   1600.000      -23.62055       23.92031    
   1700.000      -22.89678       22.48149    
   1800.000      -22.38461       21.16591    
   1900.000      -21.98204       19.95963    
   2000.000      -21.71957       18.84681    
   2100.000      -21.58241       17.81795    
   2200.000      -21.56116       16.86481    
   2300.000      -21.65108       15.98021    
   2400.000      -21.85785       15.15871    
   2500.000      -22.17500       14.39454    
   2600.000      -22.61881       13.68226    
   2700.000      -23.21251       13.01774    
   2800.000      -24.20579       12.41816    
   2900.000      -25.38804       11.86619    
   3000.000      -26.73450       11.35895    
   3100.000      -28.63627       10.89829    
   3200.000      -31.65193       10.46737    
   3235.000      -33.27133       10.32306    
   3240.000      -33.54620       10.30271    
   3245.000      -33.83524       10.28243    
   3250.000      -34.14007       10.26221    
   3255.000      -34.46254       10.24205    
   3260.000      -34.80486       10.22196    
   3265.000      -35.16975       10.20193    
   3270.000      -35.56052       10.18197    
   3275.000      -35.98132       10.16207    
   3280.000      -36.43739       10.14223    
   3285.000      -36.93561       10.12245    
   3290.000      -37.48505       10.10274    
   3295.000      -38.09834       10.08309    
   3300.000      -38.79344       10.06351    
   3305.000      -39.59764       10.04398    
   3310.000      -40.55485       10.02452    
   3315.000      -41.74348       10.00511    
   3320.000      -43.32498       9.985769    
   3325.000      -45.73189       9.966487    
   3330.000      -51.22165       9.947266    
   3335.000      -49.56127       23.51262    
   3340.000      -45.42392       23.51848    
   3345.000      -43.42311       23.52381    
   3350.000      -42.11374       23.52861    
   3355.000      -41.15233       23.53288    
   3360.000      -40.40211       23.53661    
   3365.000      -39.79458       23.53981    
   3370.000      -39.29080       23.54248    
   3375.000      -38.86647       23.54461    
   3380.000      -38.50562       23.54621    
   3385.000      -38.19730       23.54727    
   3390.000      -37.93373       23.54780    
   3393.000      -37.79470       23.54786    
   3395.000      -37.70938       23.54779    
   3398.000      -37.59188       23.54753    
   3400.000      -37.52025       23.54724    
   3403.000      -37.42250       23.54666    
   3405.000      -37.36360       23.54616    
   3408.000      -37.28439       23.54526    
   3410.000      -37.23758       23.54455    
   3413.000      -37.17621       23.54333    
   3415.000      -37.14052       23.54240    
   3418.000      -37.09676       23.54085    
   3420.000      -37.07347       23.53971    
   3423.000      -37.04751       23.53785    
   3425.000      -37.03627       23.53650    
   3428.000      -37.02874       23.53431    
   3430.000      -37.03014       23.53274    
   3433.000      -37.04224       23.53023    
   3438.000      -37.09081       23.52563    
   3443.000      -37.17861       23.52049    
   3448.000      -37.31162       23.51482    
   3453.000      -37.49850       23.50862    
   3458.000      -37.75201       23.50189    
   3463.000      -38.09174       23.49463    
   3468.000      -38.54936       23.48684    
   3473.000      -39.18095       23.47853    
   3478.000      -40.09945       23.46969    
   3483.000      -41.59228       23.46032    
   3488.000      -44.91476       23.45043    
   3493.000      -45.55034       34.32766    
   3498.000      -41.20554       34.26461    
   3500.000      -40.26859       34.23940    
   3503.000      -39.16391       34.20160    
   3508.000      -37.77209       34.13864    
   3513.000      -36.69559       34.07570    
   3518.000      -35.80730       34.01278    
   3523.000      -35.04484       33.94989    
   3528.000      -34.37294       33.88701    
   3533.000      -33.76969       33.82415    
   3538.000      -33.22038       33.76129    
   3543.000      -32.71481       33.69844    
   3548.000      -32.24546       33.63559    
   3553.000      -31.80674       33.57273    
