  Element 22: Ti      Atomic mass:   47.8800

  Edge          keV         A
    K         4.9664    2.4965

Scattering factors as a function of energy: 

   1000.000     -0.6957621       6.410808    
   1100.000     -0.4481739       5.566113    
   1200.000     -0.3091873       4.879749    
   1300.000     -0.2369176       4.314049    
   1400.000     -0.2074443       3.841979    
   1500.000     -0.2058219       3.443748    
   1600.000     -0.2225494       3.104574    
   1700.000     -0.2514465       2.813226    
   1800.000     -0.2884253       2.561043    
   1900.000     -0.3452015       2.342734    
   2000.000     -0.3906013       2.151919    
   2100.000     -0.4380592       1.983626    
   2200.000     -0.4868174       1.834398    
   2300.000     -0.5458561       1.701941    
   2400.000     -0.5959952       1.584025    
   2500.000     -0.6464024       1.478101    
   2600.000     -0.6970471       1.382576    
   2700.000     -0.7479747       1.296116    
   2800.000     -0.7992911       1.217594    
   2900.000     -0.8511531       1.146058    
   3000.000     -0.9037634       1.080692    
   3100.000     -0.9575731       1.021258    
   3200.000      -1.012601      0.9666913    
   3300.000      -1.069204      0.9164667    
   3400.000      -1.127802      0.8701285    
   3500.000      -1.188892      0.8272802    
   3600.000      -1.253068      0.7875746    
   3700.000      -1.321054      0.7507075    
   3800.000      -1.393746      0.7164108    
   3900.000      -1.472274      0.6844474    
   4000.000      -1.558104      0.6546077    
   4100.000      -1.653182      0.6267048    
   4200.000      -1.760183      0.6005725    
   4300.000      -1.882931      0.5760619    
   4400.000      -2.027165      0.5530400    
   4500.000      -2.202078      0.5313869    
   4600.000      -2.423764      0.5109949    
   4700.000      -2.724369      0.4917665    
   4800.000      -3.184063      0.4736137    
   4869.000      -3.727909      0.4616736    
   4874.000      -3.782479      0.4608261    
   4879.000      -3.840273      0.4599810    
   4884.000      -3.901673      0.4591383    
   4889.000      -3.967147      0.4582978    
   4894.000      -4.037243      0.4574597    
   4899.000      -4.112632      0.4566239    
   4900.000      -4.128413      0.4564570    
   4904.000      -4.194132      0.4557905    
   4909.000      -4.282796      0.4549593    
   4914.000      -4.379935      0.4541304    
   4919.000      -4.487270      0.4533038    
   4924.000      -4.607087      0.4524795    
   4929.000      -4.742578      0.4516574    
   4934.000      -4.898272      0.4508376    
   4939.000      -5.081012      0.4500200    
   4944.000      -5.301791      0.4492047    
   4949.000      -5.580113      0.4483916    
   4954.000      -5.955582      0.4475808    
   4959.000      -6.531345      0.4467721    
   4964.000      -7.796412      0.4459656    
   4969.000      -7.702693       4.007740    
   4974.000      -6.473956       4.000078    
   4979.000      -5.890631       3.992447    
   4984.000      -5.502749       3.984846    
   4989.000      -5.211081       3.977276    
   4994.000      -4.976868       3.969735    
   4999.000      -4.780962       3.962224    
   5000.000      -4.745332       3.960726    
   5004.000      -4.612441       3.954743    
   5009.000      -4.464501       3.947292    
   5014.000      -4.332573       3.939870    
   5019.000      -4.213491       3.932476    
   5024.000      -4.104941       3.925112    
   5029.000      -4.005195       3.917778    
   5034.000      -3.912897       3.910471    
   5039.000      -3.827005       3.903193    
   5044.000      -3.746678       3.895944    
   5049.000      -3.671236       3.888723    
   5054.000      -3.600102       3.881531    
   5059.000      -3.532811       3.874366    
   5064.000      -3.468966       3.867229    
   5100.000      -3.086066       3.816654    
   5200.000      -2.400337       3.683293    
   5300.000      -1.965391       3.559625    
   5400.000      -1.650954       3.444751    
   5500.000      -1.408125       3.337874    
   5600.000      -1.212882       3.238288    
   5700.000      -1.051504       3.145362    
   5800.000     -0.9153646       3.058534    
   5900.000     -0.7986606       2.977299    
   6000.000     -0.6972883       2.901207    
   6100.000     -0.6082336       2.829851    
   6200.000     -0.5292137       2.762864    
   6300.000     -0.4584562       2.699916    
   6400.000     -0.3945571       2.640707    
   6500.000     -0.2691255       2.580410    
   6600.000     -0.2125479       2.516903    
   6700.000     -0.1612648       2.455691    
   6800.000     -0.1146628       2.396663    
   6900.000     -7.2221696E-02   2.339717    
   7000.000     -3.3495825E-02   2.284754    
   7100.000      1.8984809E-03   2.231682    
   7200.000      3.4293961E-02   2.180414    
   7300.000      6.3981034E-02   2.130870    
   7400.000      9.1214016E-02   2.082971    
   7500.000      0.1162174       2.036646    
   7600.000      0.1391898       1.991826    
   7700.000      0.1603075       1.948445    
   7800.000      0.1797280       1.906442    
   7900.000      0.1975918       1.865760    
   8000.000      0.2140250       1.826343    
   8100.000      0.2291410       1.788138    
   8200.000      0.2430418       1.751097    
   8300.000      0.2558195       1.715172    
   8400.000      0.2675568       1.680319    
   8500.000      0.2783288       1.646495    
   8600.000      0.2878587       1.613663    
   8700.000      0.2966955       1.581786    
   8800.000      0.3049549       1.550825    
   8900.000      0.3124755       1.520744    
   9000.000      0.3195446       1.491645    
   9100.000      0.3260140       1.463362    
   9200.000      0.3319253       1.435865    
   9300.000      0.3373170       1.409124    
   9400.000      0.3422243       1.383112    
   9500.000      0.3466800       1.357803    
   9600.000      0.3507144       1.333170    
   9700.000      0.3543552       1.309191    
   9800.000      0.3576287       1.285843    
   9900.000      0.3605587       1.263102    
   10000.00      0.3625140       1.240973    
   10100.00      0.3647772       1.219426    
   10200.00      0.3667628       1.198431    
   10300.00      0.3684888       1.177970    
   10400.00      0.3699721       1.158023    
   10500.00      0.3712282       1.138574    
   10600.00      0.3719960       1.119607    
   10700.00      0.3728293       1.101109    
   10800.00      0.3734776       1.083061    
   10900.00      0.3739522       1.065449    
