  Element 81: Tl      Atomic mass:  204.3830

  Edge          keV         A
    K        85.5304    0.1450
    L-I      15.3467    0.8079
    L-II     14.6979    0.8436
    L-III    12.6575    0.9795
    M1        3.7041    3.3472
    M2        3.4157    3.6298
    M3        2.9566    4.1935
    M4        2.4851    4.9891
    M5        2.3893    5.1891

Scattering factors as a function of energy: 

   1000.000      -27.72005       23.33821    
   1100.000      -26.24838       21.63500    
   1200.000      -25.19202       20.06023    
   1300.000      -24.47112       18.60854    
   1400.000      -24.02764       17.27231    
   1500.000      -23.84229       16.04578    
   1600.000      -24.12943       14.94458    
   1700.000      -24.60552       13.98232    
   1800.000      -25.12345       13.11626    
   1900.000      -25.90465       12.32759    
   2000.000      -27.03930       11.60721    
   2100.000      -28.72250       10.94743    
   2200.000      -31.52482       10.34156    
   2292.000      -37.55297       9.832365    
   2297.000      -38.13806       9.805870    
   2300.000      -38.51542       9.790024    
   2302.000      -38.77908       9.779480    
   2307.000      -39.58365       9.753260    
   2312.000      -40.36539       9.727399    
   2317.000      -41.23681       9.701640    
   2322.000      -42.21504       9.675980    
   2327.000      -43.32163       9.650420    
   2332.000      -44.58455       9.624959    
   2337.000      -46.04009       9.599596    
   2342.000      -47.73708       9.574331    
   2347.000      -49.74198       9.549164    
   2352.000      -52.14895       9.524093    
   2357.000      -55.09553       9.499118    
   2362.000      -58.79295       9.474240    
   2367.000      -63.58811       9.449456    
   2372.000      -70.10278       9.424768    
   2377.000      -79.62286       9.400174    
   2382.000      -95.54378       9.375674    
   2387.000      -134.4234       9.351266    
   2388.000      -154.6112       9.346396    
   2392.000      -124.3352       123.9401    
   2393.000      -110.6954       121.5384    
   2397.000      -78.64040       112.4949    
   2398.000      -73.35503       110.3680    
   2400.000      -64.53647       106.2644    
   2402.000      -57.43846       102.3534    
   2403.000      -54.37963       100.4664    
   2407.000      -44.55136       93.35191    
   2408.000      -42.56969       91.67587    
   2412.000      -36.04089       85.35022    
   2413.000      -34.70049       83.85847    
   2417.000      -30.25538       78.22536    
   2418.000      -29.34171       76.89618    
   2422.000      -26.33204       71.87190    
   2423.000      -25.72202       70.68518    
   2427.000      -23.76265       66.19700    
   2428.000      -23.38099       65.13632    
   2432.000      -22.22953       61.12084    
   2433.000      -22.02783       60.17092    
   2437.000      -21.55723       56.57293    
   2438.000      -21.50518       55.72134    
   2442.000      -21.56632       52.49262    
   2443.000      -21.64667       51.72765    
   2447.000      -22.22119       48.82589    
   2448.000      -22.42806       48.13804    
   2452.000      -23.51588       45.52626    
   2453.000      -23.85557       44.90654    
   2457.000      -25.51088       42.55231    
   2458.000      -26.00534       41.99342    
   2462.000      -28.36251       39.86827    
   2463.000      -29.06012       39.36327    
   2467.000      -32.39983       37.44213    
   2468.000      -33.40063       36.98540    
   2472.000      -38.33403       35.24622    
   2473.000      -39.87104       34.83235    
   2477.000      -48.00722       33.25568    
   2478.000      -50.79020       32.88031    
   2482.000      -69.15462       31.44888    
   2483.000      -78.13074       31.10787    
   2487.000      -79.60439       106.7005    
   2488.000      -67.72572       104.7924    
   2493.000      -39.07598       95.89956    
   2498.000      -25.57609       87.98799    
   2500.000      -21.85080       85.07024    
   2503.000      -17.36691       80.93649    
   2508.000      -11.94711       74.64130    
   2513.000      -8.252516       69.01123    
   2518.000      -5.712941       63.96799    
   2523.000      -3.986952       59.44252    
   2528.000      -2.852164       55.37521    
   2533.000      -2.155879       51.71396    
   2538.000      -1.789247       48.41269    
   2543.000      -1.672677       45.43165    
   2548.000      -1.746665       42.73539    
   2553.000      -1.966067       40.29327    
   2558.000      -2.296250       38.07784    
   2563.000      -2.713043       36.06535    
   2568.000      -3.190062       34.23444    
   2573.000      -3.713559       32.56658    
   2578.000      -4.270649       31.04503    
   2583.000      -4.851084       29.65527    
   2600.000      -6.904089       25.75103    
   2700.000      -17.38224       15.92401    
   2800.000      -24.85551       14.21139    
   2859.000      -28.55442       14.97437    
   2864.000      -28.84065       15.10550    
   2869.000      -29.12086       15.24887    
   2874.000      -29.39448       15.40508    
   2879.000      -29.66081       15.57472    
   2884.000      -29.91918       15.75851    
   2889.000      -30.19468       15.95727    
   2894.000      -30.43478       16.17178    
   2899.000      -30.66455       16.40287    
   2900.000      -30.70922       16.45117    
   2904.000      -30.88331       16.65152    
   2909.000      -31.09051       16.91877    
   2914.000      -31.28603       17.20577    
   2919.000      -31.47039       17.51374    
   2924.000      -31.64544       17.84403    
   2929.000      -31.81541       18.19807    
   2934.000      -31.98936       18.57746    
   2939.000      -32.18647       18.98388    
   2944.000      -32.45111       19.41920    
   2949.000      -32.90743       19.88541    
   2954.000      -34.14781       20.38472    
   2959.000      -33.79172       25.71180    
   2964.000      -31.48221       26.26251    
   2969.000      -29.99402       26.85463    
   2974.000      -28.64624       27.49110    
   2979.000      -27.27756       28.17527    
   2984.000      -25.80955       28.91063    
   2989.000      -24.18644       29.70114    
   2994.000      -22.35877       30.55092    
   2999.000      -20.27563       31.46466    
   3000.000      -19.82360       31.65549    
   3004.000      -19.61413       31.59120    
   3009.000      -19.38631       31.50270    
   3014.000      -19.17428       31.41500    
   3019.000      -18.97559       31.32806    
   3024.000      -18.78836       31.24189    
   3029.000      -18.61111       31.15647    
   3034.000      -18.44267       31.07180    
   3039.000      -18.28203       30.98787    
   3044.000      -18.12841       30.90467    
