  Element 69: Tm      Atomic mass:  168.9342

  Edge          keV         A
    K        59.3896    0.2088
    L-I      10.1157    1.2257
    L-II      9.6169    1.2892
    L-III     8.6480    1.4337
    M1        2.3068    5.3747
    M2        2.0898    5.9328
    M3        1.8845    6.5792
    M4        1.5146    8.1859
    M5        1.4677    8.4475

Scattering factors as a function of energy: 

   1000.000      -28.07755       11.12569    
   1100.000      -28.93076       10.28927    
   1200.000      -30.52629       9.534376    
   1300.000      -33.53188       8.851936    
   1370.000      -38.14471       8.413706    
   1375.000      -38.68790       8.383659    
   1380.000      -39.28532       8.353762    
   1385.000      -39.94665       8.324012    
   1390.000      -40.68397       8.294410    
   1395.000      -41.51252       8.264954    
   1400.000      -42.45178       8.235643    
   1405.000      -43.52695       8.206477    
   1410.000      -44.77122       8.177455    
   1415.000      -46.22899       8.148575    
   1417.000      -46.88480       8.137063    
   1420.000      -47.96096       8.119838    
   1422.000      -48.74852       8.108381    
   1425.000      -50.05213       8.091241    
   1427.000      -51.01498       8.079841    
   1430.000      -52.62512       8.062784    
   1432.000      -53.82753       8.051440    
   1435.000      -55.86335       8.034467    
   1437.000      -57.40430       8.023178    
   1440.000      -60.05436       8.006288    
   1442.000      -62.09496       7.995055    
   1445.000      -65.67715       7.978246    
   1447.000      -68.50066       7.967068    
   1450.000      -73.60303       7.950341    
   1452.000      -77.76549       7.939218    
   1455.000      -85.63985       7.922573    
   1457.000      -92.44836       7.911503    
   1460.000      -106.5098       7.894938    
   1462.000      -120.3295       7.883923    
   1465.000      -157.5641       7.867439    
   1467.000      -230.4927       7.856477    
   1470.000      -153.9915       180.6982    
   1472.000      -111.2485       167.8434    
   1475.000      -76.40655       150.5335    
   1477.000      -61.75598       140.1716    
   1480.000      -46.70958       126.1880    
   1482.000      -39.76642       117.7986    
   1485.000      -32.54101       106.4523    
   1487.000      -29.34891       99.63035    
   1490.000      -26.45296       90.38405    
   1492.000      -25.58423       84.81268    
   1495.000      -25.67546       77.24540    
   1497.000      -26.62155       72.67599    
   1500.000      -29.42062       66.45666    
   1502.000      -32.33368       62.69327    
   1505.000      -38.77116       57.56042    
   1507.000      -45.05423       54.44803    
   1510.000      -60.05230       50.19441    
   1512.000      -78.63731       47.60987    
   1515.000      -149.3397       163.8450    
   1517.000      -73.63322       153.0424    
   1520.000      -38.26334       138.4043    
   1522.000      -25.15494       129.5863    
   1525.000      -12.16592       117.6122    
   1527.000      -6.199784       110.3837    
   1530.000      0.1835600       100.5477    
   1532.000       3.213583       94.59744    
   1535.000       6.448237       86.48417    
   1537.000       7.937657       81.56596    
   1540.000       9.460746       74.84631    
   1542.000       10.02382       70.76439    
   1545.000       10.45505       65.17682    
   1547.000       10.51428       61.77567    
   1550.000       10.32691       57.11081    
   1552.000       10.05524       54.26568    
   1555.000       9.478625       50.35588    
   1557.000       9.005102       47.96663    
   1560.000       8.193897       44.67706    
   1562.000       7.601057       42.66298    
   1565.000       6.655095       39.88464    
   1567.000       5.996667       38.18054    
   1572.000       4.292363       34.37810    
   1577.000       2.553906       31.14073    
   1582.000      0.8240206       28.37460    
   1587.000     -0.8699215       26.00283    
   1592.000      -2.512395       23.96222    
   1597.000      -4.092163       22.20065    
   1600.000      -5.008336       21.25939    
   1602.000      -5.605574       20.67501    
   1607.000      -7.051175       19.34949    
   1612.000      -8.429803       18.19431    
   1700.000      -25.43373       10.46654    
   1787.000      -39.52208       10.04571    
   1792.000      -40.51379       10.12974    
   1797.000      -41.54349       10.22828    
   1800.000      -42.18112       10.29481    
   1802.000      -42.61504       10.34239    
   1807.000      -43.73261       10.47328    
   1812.000      -44.90079       10.62234    
   1817.000      -46.12462       10.79116    
   1822.000      -47.40972       10.98156    
   1827.000      -48.76236       11.19562    
   1832.000      -50.18963       11.43568    
   1837.000      -51.69964       11.70442    
   1842.000      -53.30182       12.00488    
   1847.000      -55.00732       12.34051    
   1852.000      -56.82981       12.71522    
   1857.000      -58.78672       13.13348    
   1862.000      -60.90181       13.60036    
   1867.000      -63.21075       14.12163    
   1872.000      -65.77644       14.70387    
   1877.000      -68.74466       15.35459    
   1882.000      -72.74741       16.08237    
   1887.000      -75.28391       21.60281    
   1892.000      -76.35160       22.48344    
   1897.000      -78.52206       23.47575    
   1900.000      -80.07439       24.13079    
   1902.000      -81.19223       24.59447    
   1907.000      -84.25054       25.85654    
   1912.000      -37.35510       26.21969    
   1917.000      -37.87753       26.35635    
   1922.000      -38.49501       26.51994    
   1927.000      -39.20353       26.71353    
   1932.000      -40.00266       26.94061    
   1937.000      -40.89451       27.20515    
   1942.000      -41.88303       27.51168    
   1947.000      -42.97378       27.86536    
   1952.000      -44.17376       28.27207    
   1957.000      -45.49136       28.73856    
   1962.000      -46.93646       29.27252    
   1967.000      -48.52097       29.88279    
   1972.000      -17.41091       30.07033    
   1977.000      -17.26446       29.94576    
   1982.000      -17.12591       29.82236    
   1992.000      -16.86973       29.57895    
   1997.000      -16.75169       29.45892    
   2000.000      -16.68396       29.38743    
   2002.000      -16.64009       29.33998    
   2007.000      -16.53484       29.22215    
   2012.000      -16.43589       29.10537    
   2017.000      -16.34330       28.98966    
   2022.000      -16.25718       28.87499    
   2027.000      -16.17778       28.76135    
   2032.000      -16.10543       28.64874    
   2037.000      -16.04067       28.53713    
