  Element 23: V       Atomic mass:   50.9415

  Edge          keV         A
    K         5.4651    2.2687

Scattering factors as a function of energy: 

   1000.000      -1.059878       7.567664    
   1100.000     -0.6623371       6.585547    
   1200.000     -0.4219976       5.784896    
   1300.000     -0.2803189       5.123167    
   1400.000     -0.2007996       4.569696    
   1500.000     -0.1627444       4.101840    
   1600.000     -0.1525206       3.702651    
   1700.000     -0.1611958       3.359208    
   1800.000     -0.1827917       3.061514    
   1900.000     -0.2132414       2.801731    
   2000.000     -0.2497452       2.573642    
   2100.000     -0.3084247       2.373168    
   2200.000     -0.3512332       2.196664    
   2300.000     -0.3956663       2.039279    
   2400.000     -0.4411362       1.898310    
   2500.000     -0.4872527       1.771523    
   2600.000     -0.5406885       1.657704    
   2700.000     -0.5874482       1.554706    
   2800.000     -0.6343445       1.461111    
   2900.000     -0.6813845       1.375793    
   3000.000     -0.7286221       1.297794    
   3100.000     -0.7764937       1.226745    
   3200.000     -0.8246944       1.161492    
   3300.000     -0.8733916       1.101414    
   3400.000     -0.9227824       1.045969    
   3500.000     -0.9730946      0.9946852    
   3600.000      -1.024591      0.9471507    
   3700.000      -1.077574      0.9030033    
   3800.000      -1.132395      0.8619243    
   3900.000      -1.189466      0.8236314    
   4000.000      -1.249274      0.7878750    
   4100.000      -1.312405      0.7544327    
   4200.000      -1.379573      0.7231062    
   4300.000      -1.451666      0.6937183    
   4400.000      -1.529811      0.6661102    
   4500.000      -1.615466      0.6401391    
   4600.000      -1.710579      0.6156763    
   4700.000      -1.817827      0.5926058    
   4800.000      -1.941042      0.5708224    
   4900.000      -2.085983      0.5502311    
   5000.000      -2.261883      0.5307453    
   5100.000      -2.484930      0.5122862    
   5200.000      -2.787521      0.4947821    
   5300.000      -3.250745      0.4781674    
   5368.000      -3.789698      0.4673467    
   5373.000      -3.844386      0.4665657    
   5378.000      -3.902303      0.4657868    
   5383.000      -3.963847      0.4650097    
   5388.000      -4.029477      0.4642346    
   5393.000      -4.099747      0.4634614    
   5398.000      -4.175327      0.4626902    
   5400.000      -4.207236      0.4623823    
   5403.000      -4.257065      0.4619209    
   5408.000      -4.345999      0.4611536    
   5413.000      -4.443464      0.4603882    
   5418.000      -4.551199      0.4596247    
   5423.000      -4.671522      0.4588631    
   5428.000      -4.807672      0.4581034    
   5433.000      -4.964263      0.4573457    
   5438.000      -5.148285      0.4565898    
   5443.000      -5.371017      0.4558358    
   5448.000      -5.652615      0.4550837    
   5453.000      -6.034440      0.4543334    
   5458.000      -6.626515      0.4535850    
   5463.000      -7.988646      0.4528386    
   5468.000      -7.622978       3.994766    
   5473.000      -6.481418       3.987592    
   5478.000      -5.919023       3.980446    
   5483.000      -5.541274       3.973328    
   5488.000      -5.255801       3.966236    
   5493.000      -5.025949       3.959171    
   5498.000      -4.833342       3.952134    
   5500.000      -4.764219       3.949327    
   5503.000      -4.667465       3.945123    
   5508.000      -4.521685       3.938139    
   5513.000      -4.391604       3.931182    
   5518.000      -4.274126       3.924250    
   5523.000      -4.166999       3.917346    
   5528.000      -4.068507       3.910467    
   5533.000      -3.977351       3.903615    
   5538.000      -3.892499       3.896788    
   5543.000      -3.813127       3.889987    
   5548.000      -3.738568       3.883212    
   5553.000      -3.668253       3.876462    
   5558.000      -3.601727       3.869737    
   5563.000      -3.538600       3.863038    
   5600.000      -3.150794       3.814239    
   5700.000      -2.475502       3.688869    
   5800.000      -2.045643       3.572334    
   5900.000      -1.734054       3.463852    
   6000.000      -1.492876       3.362726    
   6100.000      -1.298557       3.268333    
   6200.000      -1.137638       3.180116    
   6300.000      -1.001651       3.097574    
   6400.000     -0.8849022       3.020258    
   6500.000     -0.7833596       2.947763    
   6600.000     -0.6940628       2.879723    
   6700.000     -0.6147689       2.815807    
   6800.000     -0.5437356       2.755715    
   6900.000     -0.4795825       2.699176    
   7000.000     -0.4211941       2.645939    
   7100.000     -0.3676182       2.595781    
   7200.000     -0.2372884       2.537684    
   7300.000     -0.1883657       2.481020    
   7400.000     -0.1436022       2.426206    
   7500.000     -0.1025629       2.373161    
   7600.000     -6.4873077E-02   2.321809    
   7700.000     -3.0207550E-02   2.272079    
   7800.000      1.7178862E-03   2.223902    
   7900.000      3.1152356E-02   2.177214    
   8000.000      5.8316100E-02   2.131954    
   8100.000      8.3404243E-02   2.088063    
   8200.000      0.1065899       2.045487    
   8300.000      0.1280282       2.004174    
   8400.000      0.1478571       1.964073    
   8500.000      0.1662012       1.925138    
   8600.000      0.1831715       1.887323    
   8700.000      0.1988677       1.850586    
   8800.000      0.2133791       1.814886    
   8900.000      0.2267847       1.780185    
   9000.000      0.2393715       1.746619    
   9100.000      0.2510408       1.713984    
   9200.000      0.2618573       1.682245    
   9300.000      0.2718805       1.651369    
   9400.000      0.2811646       1.621326    
   9500.000      0.2897599       1.592084    
   9600.000      0.2977129       1.563616    
   9700.000      0.3050086       1.535895    
   9800.000      0.3117564       1.508895    
   9900.000      0.3180148       1.482591    
   10000.00      0.3237829       1.456959    
   10100.00      0.3290916       1.431976    
   10200.00      0.3339699       1.407620    
   10300.00      0.3384446       1.383870    
   10400.00      0.3425406       1.360707    
   10500.00      0.3462813       1.338110    
   10600.00      0.3496883       1.316062    
   10700.00      0.3527818       1.294545    
   10800.00      0.3555807       1.273541    
   10900.00      0.3581025       1.253036    
