  Element 74: W       Atomic mass:  183.8500

  Edge          keV         A
    K        69.5250    0.1783
    L-I      12.0998    1.0247
    L-II     11.5440    1.0740
    L-III    10.2068    1.2147
    M1        2.8196    4.3972
    M2        2.5749    4.8151
    M3        2.2810    5.4355
    M4        1.8716    6.6245
    M5        1.8092    6.8530

Scattering factors as a function of energy: 

   1000.000      -27.16405       15.35410    
   1100.000      -26.96376       14.11129    
   1200.000      -27.08824       13.02228    
   1300.000      -27.54617       12.05971    
   1400.000      -28.39710       11.20261    
   1500.000      -29.79482       10.43470    
   1600.000      -32.15504       9.743026    
   1700.000      -37.32670       9.117080    
   1712.000      -38.52801       9.046376    
   1717.000      -39.09650       9.017177    
   1722.000      -39.72173       8.988117    
   1727.000      -40.41349       8.959197    
   1732.000      -41.18387       8.930415    
   1737.000      -42.04802       8.901771    
   1742.000      -43.02509       8.873263    
   1747.000      -44.13967       8.844891    
   1752.000      -45.42377       8.816653    
   1757.000      -46.91982       8.788549    
   1762.000      -48.68525       8.760578    
   1767.000      -50.79971       8.732739    
   1772.000      -53.37702       8.705031    
   1774.000      -54.57285       8.693984    
   1777.000      -56.58601       8.677454    
   1779.000      -58.10084       8.666458    
   1782.000      -60.68943       8.650005    
   1784.000      -62.67010       8.639062    
   1787.000      -66.12329       8.622686    
   1789.000      -68.82719       8.611794    
   1792.000      -73.68020       8.595493    
   1794.000      -77.61448       8.584652    
   1797.000      -85.01627       8.568428    
   1799.000      -91.39272       8.557638    
   1800.000      -95.19593       8.552250    
   1802.000      -104.5687       8.541490    
   1804.000      -117.6372       8.530749    
   1807.000      -154.5820       8.514675    
   1809.000      -264.9869       8.503985    
   1812.000      -134.3695       152.3048    
   1814.000      -103.9141       143.9734    
   1817.000      -76.97060       132.4821    
   1819.000      -64.92233       125.4367    
   1822.000      -51.80756       115.7056    
   1824.000      -45.31598       109.7311    
   1827.000      -37.93652       101.4678    
   1829.000      -34.22286       96.38756    
   1832.000      -30.04326       89.35156    
   1834.000      -28.01627       85.01991    
   1837.000      -25.91043       79.01271    
   1839.000      -25.04521       75.30944    
   1842.000      -24.45477       70.16687    
   1844.000      -24.49532       66.99239    
   1847.000      -25.17566       62.57834    
   1849.000      -26.04276       59.84998    
   1852.000      -28.00224       56.05131    
   1854.000      -29.79829       53.70025    
   1857.000      -33.38565       50.42268    
   1859.000      -36.53281       48.39151    
   1862.000      -42.88341       45.55629    
   1864.000      -48.76345       43.79700    
   1867.000      -62.32703       41.33820    
   1869.000      -78.75305       39.81055    
   1872.000      -140.7770       141.0612    
   1874.000      -76.33863       133.8550    
   1877.000      -45.85533       123.8737    
   1879.000      -34.22075       117.7281    
   1882.000      -22.26119       109.2043    
   1884.000      -16.50933       103.9490    
   1887.000      -10.01885       96.65044    
   1889.000      -6.727039       92.14433    
   1892.000      -2.920382       85.87861    
   1894.000     -0.9708419       82.00491    
   1897.000       1.271904       76.61159    
   1899.000       2.405098       73.27290    
   1900.000       2.875760       71.67593    
   1902.000       3.658931       68.61848    
   1904.000       4.255450       65.73351    
   1907.000       4.858583       61.70650    
   1909.000       5.098541       59.20724    
   1914.000       5.257027       53.54372    
   1919.000       4.946798       48.61664    
   1924.000       4.315974       44.31971    
   1929.000       3.468291       40.56322    
   1934.000       2.477422       37.27134    
   1939.000       1.396136       34.37978    
   1944.000      0.2623934       31.83394    
   1949.000     -0.8964987       29.58736    
   1954.000      -2.060983       27.60037    
   1959.000      -3.217204       25.83908    
   1964.000      -4.353546       24.27445    
   1969.000      -5.490107       22.88163    
   2000.000      -11.69286       16.97892    
   2100.000      -25.55367       10.97042    
   2184.000      -35.79024       10.37461    
   2189.000      -36.48941       10.40466    
   2194.000      -37.20726       10.44251    
   2199.000      -37.94548       10.48843    
   2200.000      -38.09577       10.49862    
   2204.000      -38.70610       10.54277    
   2209.000      -39.49123       10.60592    
   2214.000      -40.30320       10.67830    
   2219.000      -41.14476       10.76043    
   2224.000      -42.01888       10.85286    
   2229.000      -42.92918       10.95623    
   2234.000      -43.87977       11.07123    
   2239.000      -44.87585       11.19865    
   2244.000      -45.92380       11.33935    
   2249.000      -47.03224       11.49431    
   2254.000      -48.21300       11.66459    
   2259.000      -49.48423       11.85138    
   2264.000      -50.87622       12.05597    
   2269.000      -52.44926       12.27983    
   2274.000      -54.35975       12.52455    
   2279.000      -57.41340       12.79192    
   2284.000      -57.97238       17.90952    
   2289.000      -57.69864       18.19977    
   2294.000      -58.25729       18.51972    
   2299.000      -59.13349       18.87206    
   2300.000      -59.33451       18.94666    
   2304.000      -60.20807       19.25970    
   2309.000      -61.43675       19.68592    
   2314.000      -62.80020       20.15431    
   2319.000      -64.29047       20.66892    
   2324.000      -65.90522       21.23417    
   2329.000      -67.64602       21.85507    
   2334.000      -69.51664       22.53713    
   2339.000      -71.52272       23.28645    
   2344.000      -73.67165       24.10994    
   2349.000      -75.97108       25.01518    
   2354.000      -33.94523       25.61932    
   2359.000      -34.36792       25.69833    
   2364.000      -34.82689       25.79128    
   2369.000      -35.32352       25.89934    
   2374.000      -35.85944       26.02384    
   2379.000      -36.43644       26.16623    
   2400.000      -39.37330       26.99964    
   2477.000      -16.03130       28.60967    
   2482.000      -15.96427       28.51912    
   2487.000      -15.90085       28.42921    
   2492.000      -15.84117       28.33991    
