  Element 39: Y       Atomic mass:   88.9059

  Edge          keV         A
    K        17.0384    0.7277
    L-I       2.3725    5.2259
    L-II      2.1555    5.7520
    L-III     2.0800    5.9608

Scattering factors as a function of energy: 

   1000.000      -6.770609       7.805745    
   1100.000      -6.756824       6.907546    
   1200.000      -6.849644       6.157716    
   1300.000      -7.065702       5.529960    
   1400.000      -7.340699       4.998139    
   1500.000      -7.705686       4.542334    
   1600.000      -8.185776       4.148463    
   1700.000      -8.812332       3.805992    
   1800.000      -9.674379       3.505656    
   1900.000      -10.97318       3.240607    
   1983.000      -12.83193       3.043456    
   1988.000      -12.99133       3.032176    
   1993.000      -13.15954       3.020960    
   1998.000      -13.33755       3.009809    
   2000.000      -13.41175       3.005366    
   2003.000      -13.52655       2.998721    
   2008.000      -13.72796       2.987696    
   2013.000      -13.94352       2.976733    
   2018.000      -14.17533       2.965832    
   2023.000      -14.42605       2.954993    
   2028.000      -14.69906       2.944214    
   2033.000      -14.99870       2.933497    
   2038.000      -15.33084       2.922839    
   2043.000      -15.70351       2.912242    
   2048.000      -16.12825       2.901703    
   2053.000      -16.62245       2.891223    
   2058.000      -17.21427       2.880801    
   2058.000      -17.21427       2.880801    
   2063.000      -17.95370       2.870438    
   2063.000      -17.95370       2.870438    
   2068.000      -18.94407       2.860131    
   2068.000      -18.94407       2.860131    
   2073.000      -20.46147       2.849882    
   2073.000      -20.46147       2.849882    
   2078.000      -23.94872       2.839689    
   2078.000      -23.94872       2.839689    
   2083.000      -22.85832       11.50616    
   2083.000      -22.85832       11.50616    
   2088.000      -20.17750       11.45316    
   2088.000      -20.17750       11.45316    
   2093.000      -18.88595       11.40066    
   2093.000      -18.88595       11.40066    
   2098.000      -18.05219       11.34866    
   2098.000      -18.05219       11.34866    
   2100.000      -17.79141       11.32800    
   2103.000      -17.45525       11.29716    
   2103.000      -17.45525       11.29716    
   2108.000      -17.00788       11.24614    
   2108.000      -17.00788       11.24614    
   2113.000      -16.66791       11.19560    
   2113.000      -16.66791       11.19560    
   2118.000      -16.41325       11.14554    
   2118.000      -16.41325       11.14554    
   2123.000      -16.23302       11.09594    
   2123.000      -16.23302       11.09594    
   2128.000      -16.12444       11.04681    
   2128.000      -16.12444       11.04681    
   2133.000      -16.09288       10.99814    
   2133.000      -16.09288       10.99814    
   2138.000      -16.15577       10.94991    
   2138.000      -16.15577       10.94991    
   2143.000      -16.35565       10.90213    
   2143.000      -16.35565       10.90213    
   2148.000      -16.81034       10.85479    
   2148.000      -16.81034       10.85479    
   2153.000      -18.07939       10.80789    
   2153.000      -18.07939       10.80789    
   2158.000      -17.86592       15.04330    
   2158.000      -17.86592       15.04330    
   2163.000      -16.16254       14.97822    
   2163.000      -16.16254       14.97822    
   2168.000      -15.27809       14.91374    
   2168.000      -15.27809       14.91374    
   2173.000      -14.64462       14.84985    
   2173.000      -14.64462       14.84985    
   2178.000      -14.13862       14.78654    
   2178.000      -14.13862       14.78654    
   2183.000      -13.71185       14.72379    
   2188.000      -13.33958       14.66162    
   2193.000      -13.00828       14.60001    
   2198.000      -12.70894       14.53895    
   2200.000      -12.59673       14.51468    
   2203.000      -12.43552       14.47844    
   2208.000      -12.18375       14.41847    
   2213.000      -11.95040       14.35903    
   2218.000      -11.73306       14.30012    
   2223.000      -11.52980       14.24173    
   2228.000      -11.33912       14.18386    
   2233.000      -11.15975       14.12650    
   2238.000      -10.99070       14.06964    
   2243.000      -10.83110       14.01328    
   2248.000      -10.68026       13.95741    
   2253.000      -10.53759       13.90202    
   2275.000      -9.996045       13.66398    
   2280.000      -9.890860       13.61113    
   2285.000      -9.791914       13.55873    
   2290.000      -9.699148       13.50678    
   2295.000      -9.612552       13.45527    
   2300.000      -9.532200       13.40420    
   2305.000      -9.458238       13.35356    
   2310.000      -9.390922       13.30335    
   2315.000      -9.330625       13.25356    
   2320.000      -9.277894       13.20419    
   2325.000      -9.233493       13.15523    
   2330.000      -9.198509       13.10668    
   2335.000      -9.174497       13.05854    
   2340.000      -9.163752       13.01080    
   2345.000      -9.169793       12.96345    
   2350.000      -9.198353       12.91649    
   2355.000      -9.259634       12.86992    
   2360.000      -9.374426       12.82374    
   2365.000      -9.596696       12.77793    
   2370.000      -10.17711       12.73250    
   2375.000      -10.09261       14.59790    
   2380.000      -9.340438       14.54925    
   2385.000      -8.948794       14.50100    
   2390.000      -8.665495       14.45314    
   2395.000      -8.436049       14.40569    
   2400.000      -8.239284       14.35861    
   2405.000      -8.064740       14.31193    
   2410.000      -7.906431       14.26563    
   2415.000      -7.760632       14.21971    
   2420.000      -7.624825       14.17416    
   2425.000      -7.497261       14.12898    
   2430.000      -7.376634       14.08416    
   2435.000      -7.261979       14.03971    
   2440.000      -7.152523       13.99562    
   2445.000      -7.047672       13.95188    
   2450.000      -6.946927       13.90850    
   2455.000      -6.849894       13.86546    
   2460.000      -6.756227       13.82277    
   2465.000      -6.665649       13.78042    
   2470.000      -6.577908       13.73840    
   2500.000      -6.100973       13.49322    
   2600.000      -4.902215       12.75436    
   2700.000      -4.043313       12.11994    
   2800.000      -3.166828       11.49946    
   2900.000      -2.529840       10.91079    
   3000.000      -2.062691       10.37350    
   3100.000      -1.687064       9.863277    
   3200.000      -1.376770       9.390528    
   3300.000      -1.118529       8.951612    
