  Element 70: Yb      Atomic mass:  173.0400

  Edge          keV         A
    K        61.3323    0.2022
    L-I      10.4864    1.1823
    L-II      9.9782    1.2426
    L-III     8.9436    1.3863
    M1        2.3981    5.1701
    M2        2.1730    5.7057
    M3        1.9498    6.3588
    M4        1.5763    7.8655
    M5        1.5278    8.1152

Scattering factors as a function of energy: 

   1000.000      -27.87740       11.86634    
   1100.000      -28.44410       10.97046    
   1200.000      -29.59484       10.16265    
   1300.000      -31.65552       9.432991    
   1400.000      -35.89758       8.773451    
   1430.000      -38.39986       8.588728    
   1435.000      -38.94860       8.558470    
   1440.000      -39.55168       8.528360    
   1445.000      -40.21864       8.498399    
   1450.000      -40.96140       8.468584    
   1455.000      -41.79494       8.438916    
   1460.000      -42.73832       8.409392    
   1465.000      -43.81618       8.380013    
   1470.000      -45.06079       8.350777    
   1475.000      -46.51522       8.321683    
   1479.000      -47.86850       8.298511    
   1480.000      -48.23808       8.292731    
   1484.000      -49.86354       8.269670    
   1485.000      -50.31118       8.263919    
   1489.000      -52.29910       8.240971    
   1490.000      -52.85204       8.235248    
   1494.000      -55.33628       8.212410    
   1495.000      -56.03568       8.206715    
   1499.000      -59.22383       8.183988    
   1500.000      -60.13517       8.178319    
   1504.000      -64.36874       8.155703    
   1505.000      -65.60356       8.150062    
   1509.000      -71.49261       8.127554    
   1510.000      -73.26028       8.121940    
   1514.000      -82.03767       8.099540    
   1515.000      -84.79514       8.093954    
   1519.000      -99.52547       8.071662    
   1520.000      -104.5836       8.066103    
   1524.000      -137.1929       8.043918    
   1525.000      -151.9937       8.038385    
   1529.000      -192.4741       178.8430    
   1530.000      -154.0681       172.7120    
   1534.000      -87.81572       150.5527    
   1535.000      -78.69544       145.5544    
   1539.000      -53.91388       127.4534    
   1540.000      -49.67061       123.3621    
   1544.000      -37.52688       108.5173    
   1545.000      -35.42551       105.1552    
   1549.000      -29.72857       92.93300    
   1550.000      -28.87354       90.15945    
   1554.000      -27.31439       80.05747    
   1555.000      -27.35063       77.76057    
   1559.000      -29.11746       69.37904    
   1560.000      -29.97763       67.46964    
   1564.000      -35.38942       60.48923    
   1565.000      -37.33974       58.89581    
   1569.000      -48.86954       53.06077    
   1570.000      -53.16605       51.72625    
   1574.000      -85.64730       46.83049    
   1575.000      -105.4194       45.70871    
   1579.000      -71.52843       152.3113    
   1580.000      -57.62049       147.4720    
   1584.000      -26.16117       129.8923    
   1585.000      -21.27962       125.9047    
   1589.000      -7.546701       111.3911    
   1590.000      -5.121825       108.0925    
   1594.000       1.987384       96.06368    
   1595.000       3.263991       93.32444    
   1599.000       6.959177       83.31669    
   1600.000       7.598533       81.03328    
   1604.000       9.322116       72.67547    
   1605.000       9.579154       70.76488    
   1609.000       10.09335       63.75893    
   1610.000       10.11473       62.15436    
   1614.000       9.875587       56.25997    
   1615.000       9.748401       54.90748    
   1619.000       9.036544       49.93031    
   1620.000       8.816682       48.78619    
   1624.000       7.813137       44.56849    
   1625.000       7.537063       43.59722    
   1629.000       6.360916       40.01052    
   1634.000       4.783267       36.12247    
   1639.000       3.149162       32.79449    
   1644.000       1.504587       29.93653    
   1649.000     -0.1202582       27.47408    
   1654.000      -1.722628       25.34560    
   1659.000      -3.242523       23.50000    
   1664.000      -4.720372       21.89478    
   1669.000      -6.137897       20.49445    
   1674.000      -7.494390       19.26931    
   1700.000      -13.63875       14.90165    
   1800.000      -29.79800       10.13028    
   1852.000      -37.98242       10.13544    
   1857.000      -38.88286       10.19619    
   1862.000      -39.81347       10.26910    
   1867.000      -40.77730       10.35490    
   1872.000      -41.77768       10.45440    
   1877.000      -42.81823       10.56857    
   1882.000      -43.90295       10.69850    
   1887.000      -45.03627       10.84543    
   1892.000      -46.22315       11.01078    
   1897.000      -47.46920       11.19616    
   1900.000      -48.24788       11.31775    
   1902.000      -48.78088       11.40338    
   1907.000      -50.16575       11.63448    
   1912.000      -51.63292       11.89179    
   1917.000      -53.19372       12.17791    
   1922.000      -54.86284       12.49579    
   1927.000      -56.66095       12.84874    
   1932.000      -58.62000       13.24054    
   1937.000      -60.79773       13.67540    
   1942.000      -63.32961       14.15814    
   1947.000      -66.77971       14.69417    
   1952.000      -69.16226       20.09593    
   1957.000      -69.47833       20.72162    
   1962.000      -70.96206       21.42245    
   1967.000      -72.89497       22.20738    
   1972.000      -75.14417       23.08657    
   1977.000      -77.67028       24.07162    
   1982.000      -80.46449       25.17571    
   1987.000      -36.42932       26.20568    
   1992.000      -36.95288       26.31959    
   1997.000      -37.54990       26.45695    
   2000.000      -37.94328       26.55166    
   2002.000      -38.22034       26.62029    
   2007.000      -38.96566       26.81243    
   2012.000      -39.78879       27.03663    
   2017.000      -40.69361       27.29650    
   2022.000      -41.68523       27.59623    
   2027.000      -42.76954       27.94047    
   2032.000      -43.95367       28.33461    
   2037.000      -45.24558       28.78469    
   2042.000      -46.65459       29.29768    
   2047.000      -48.19114       29.88140    
   2076.000      -16.56608       29.51637    
   2081.000      -16.46383       29.39988    
   2086.000      -16.36715       29.28447    
   2091.000      -16.27603       29.17011    
   2096.000      -16.19053       29.05682    
   2100.000      -16.12626       28.96693    
   2101.000      -16.11078       28.94455    
   2106.000      -16.03697       28.83332    
   2111.000      -15.96941       28.72310    
   2116.000      -15.90853       28.61388    
   2121.000      -15.85490       28.50565    
