  Element 30: Zn      Atomic mass:   65.3800

  Edge          keV         A
    K         9.6586    1.2837
    L-I       1.1936   10.3874
    L-II      1.0428   11.8896
    L-III     1.0197   12.1589

Scattering factors as a function of energy: 

   1000.000      -21.94412       2.261062    
   1100.000      -2.808825       11.21955    
   1200.000      -12.15603       6.939785    
   1300.000      -20.77994       9.331404    
   1400.000      -3.722328       12.12636    
   1500.000      -2.689781       10.94775    
   1600.000      -1.949246       9.960461    
   1700.000      -1.470588       9.114077    
   1800.000      -1.102198       8.387187    
   1900.000     -0.8270059       7.756310    
   2000.000     -0.6178281       7.204023    
   2100.000     -0.3075905       6.698668    
   2200.000     -0.1817079       6.226824    
   2300.000     -8.9688033E-02   5.802166    
   2400.000     -4.1439872E-02   5.419037    
   2500.000      2.3759902E-03   5.075385    
   2600.000      2.6914187E-02   4.763491    
   2700.000      4.2297136E-02   4.479555    
   2800.000      4.7636099E-02   4.220225    
   2900.000      4.4887520E-02   3.982717    
   3000.000      3.5565313E-02   3.764636    
   3100.000      2.2172397E-02   3.566117    
   3200.000      5.0681611E-03   3.383147    
   3300.000     -1.4975004E-02   3.214122    
   3400.000     -3.7338525E-02   3.057639    
   3500.000     -6.1525486E-02   2.912471    
   3600.000     -8.7136224E-02   2.777539    
   3700.000     -0.1139201       2.651889    
   3800.000     -0.1414783       2.534679    
   3900.000     -0.1696694       2.425161    
   4000.000     -0.1983263       2.322666    
   4100.000     -0.2273154       2.226601    
   4200.000     -0.2565310       2.136431    
   4300.000     -0.2858899       2.051679    
   4400.000     -0.3153281       1.971914    
   4500.000     -0.3469672       1.896867    
   4600.000     -0.3778922       1.826172    
   4700.000     -0.4073426       1.759422    
   4800.000     -0.4367292       1.696309    
   4900.000     -0.4660458       1.636570    
   5000.000     -0.4952932       1.579965    
   5100.000     -0.5244783       1.526275    
   5200.000     -0.5563806       1.475347    
   5300.000     -0.5855246       1.427069    
   5400.000     -0.6146396       1.381158    
   5500.000     -0.6437519       1.337459    
   5600.000     -0.6728882       1.295830    
   5700.000     -0.7020788       1.256141    
   5800.000     -0.7313567       1.218272    
   5900.000     -0.7607575       1.182111    
   6000.000     -0.7903206       1.147557    
   6100.000     -0.8200881       1.114514    
   6200.000     -0.8501058       1.082894    
   6300.000     -0.8804231       1.052615    
   6400.000     -0.9110929       1.023603    
   6500.000     -0.9421731      0.9957863    
   6600.000     -0.9737263      0.9690995    
   6700.000      -1.005821      0.9434815    
   6800.000      -1.038531      0.9188752    
   6900.000      -1.071938      0.8952277    
   7000.000      -1.106133      0.8724890    
   7100.000      -1.141214      0.8506128    
   7200.000      -1.177292      0.8295555    
   7300.000      -1.214493      0.8092760    
   7400.000      -1.252953      0.7897364    
   7500.000      -1.292833      0.7709006    
   7600.000      -1.334310      0.7527348    
   7700.000      -1.377591      0.7352074    
   7800.000      -1.422915      0.7182883    
   7900.000      -1.470560      0.7019497    
   8000.000      -1.520853      0.6861647    
   8100.000      -1.574183      0.6709086    
   8200.000      -1.631017      0.6561578    
   8300.000      -1.691925      0.6418898    
   8400.000      -1.757607      0.6280837    
   8500.000      -1.828945      0.6147195    
   8600.000      -1.907061      0.6017784    
   8700.000      -1.993422      0.5892428    
   8800.000      -2.089993      0.5770953    
   8900.000      -2.199484      0.5653203    
   9000.000      -2.325783      0.5540166    
   9100.000      -2.474768      0.5430533    
   9200.000      -2.655889      0.5324167    
   9300.000      -2.885808      0.5220937    
   9400.000      -3.198143      0.5120721    
   9500.000      -3.678381      0.5023398    
   9561.000      -4.168597      0.4965406    
   9566.000      -4.222373      0.4960698    
   9571.000      -4.279265      0.4955996    
   9576.000      -4.339641      0.4951301    
   9581.000      -4.403940      0.4946613    
   9586.000      -4.472689      0.4941931    
   9591.000      -4.546515      0.4937258    
   9596.000      -4.626232      0.4932590    
   9600.000      -4.694903      0.4928860    
   9601.000      -4.712814      0.4927928    
   9606.000      -4.807516      0.4923274    
   9611.000      -4.911970      0.4918626    
   9616.000      -5.028355      0.4913985    
   9621.000      -5.159669      0.4909350    
   9626.000      -5.310200      0.4904722    
   9631.000      -5.486354      0.4900102    
   9636.000      -5.698533      0.4895487    
   9641.000      -5.964884      0.4890879    
   9646.000      -6.322135      0.4886277    
   9651.000      -6.864602      0.4881682    
   9656.000      -8.020504      0.4877094    
   9661.000      -8.112106       3.896319    
   9666.000      -6.883115       3.892159    
   9671.000      -6.317070       3.888010    
   9676.000      -5.944059       3.883869    
   9681.000      -5.664979       3.879738    
   9686.000      -5.441668       3.875617    
   9691.000      -5.255354       3.871505    
   9696.000      -5.095403       3.867403    
   9700.000      -4.981905       3.864128    
   9701.000      -4.955200       3.863310    
   9706.000      -4.830349       3.859227    
   9711.000      -4.717781       3.855153    
   9716.000      -4.615282       3.851090    
   9721.000      -4.521144       3.847035    
   9726.000      -4.434101       3.842989    
   9731.000      -4.353145       3.838953    
   9736.000      -4.277468       3.834927    
   9741.000      -4.206415       3.830909    
   9746.000      -4.139444       3.826901    
   9751.000      -4.076107       3.822902    
   9756.000      -4.016035       3.818913    
   9800.000      -3.588654       3.784199    
   9900.000      -2.968701       3.707860    
   10000.00      -2.564408       3.634908    
   10100.00      -2.265245       3.565157    
   10200.00      -2.029097       3.498432    
   10300.00      -1.835159       3.434569    
   10400.00      -1.671593       3.373417    
