  Element 40: Zr      Atomic mass:   91.2200

  Edge          keV         A
    K        17.9976    0.6889
    L-I       2.5316    4.8975
    L-II      2.3067    5.3750
    L-III     2.2223    5.5791

Scattering factors as a function of energy: 

   1000.000      -6.642362       8.734132    
   1100.000      -6.545239       7.736066    
   1200.000      -6.562346       6.902965    
   1300.000      -6.669322       6.199037    
   1400.000      -6.892981       5.602530    
   1500.000      -7.157197       5.093545    
   1600.000      -7.499603       4.653351    
   1700.000      -7.936108       4.269691    
   1800.000      -8.504502       3.933748    
   1900.000      -9.257581       3.637491    
   2000.000      -10.32659       3.374538    
   2100.000      -12.09052       3.139908    
   2125.000      -12.76864       3.085186    
   2130.000      -12.92485       3.074418    
   2135.000      -13.08960       3.063708    
   2140.000      -13.26389       3.053056    
   2145.000      -13.44885       3.042461    
   2150.000      -13.64588       3.031922    
   2155.000      -13.85664       3.021440    
   2160.000      -14.08321       3.011013    
   2165.000      -14.32813       3.000642    
   2170.000      -14.59470       2.990325    
   2175.000      -14.88713       2.980064    
   2180.000      -15.21110       2.969856    
   2185.000      -15.57436       2.959703    
   2190.000      -15.98809       2.949602    
   2195.000      -16.46899       2.939555    
   2200.000      -17.04408       2.929561    
   2205.000      -17.76099       2.919619    
   2209.000      -18.49869       2.911702    
   2210.000      -18.71713       2.909728    
   2214.000      -19.81165       2.901853    
   2215.000      -20.16741       2.899889    
   2219.000      -22.35715       2.892055    
   2220.000      -23.34879       2.890102    
   2224.000      -24.20207       11.49237    
   2225.000      -22.93410       11.48189    
   2229.000      -20.45737       11.44014    
   2230.000      -20.08195       11.42975    
   2234.000      -18.96495       11.38841    
   2235.000      -18.74899       11.37813    
   2239.000      -18.03878       11.33719    
   2240.000      -17.89069       11.32700    
   2244.000      -17.38221       11.28646    
   2245.000      -17.27242       11.27638    
   2249.000      -16.88727       11.23622    
   2250.000      -16.80270       11.22624    
   2254.000      -16.50317       11.18647    
   2255.000      -16.43698       11.17658    
   2259.000      -16.20257       11.13720    
   2260.000      -16.15098       11.12740    
   2264.000      -15.97013       11.08840    
   2265.000      -15.93098       11.07869    
   2269.000      -15.79757       11.04006    
   2270.000      -15.76990       11.03045    
   2274.000      -15.68187       10.99219    
   2275.000      -15.66562       10.98267    
   2279.000      -15.62492       10.94477    
   2280.000      -15.62115       10.93534    
   2284.000      -15.63488       10.89780    
   2285.000      -15.64629       10.88846    
   2289.000      -15.73060       10.85127    
   2290.000      -15.76305       10.84202    
   2294.000      -15.95426       10.80518    
   2295.000      -16.02175       10.79602    
   2299.000      -16.41843       10.75953    
   2300.000      -16.56531       10.75045    
   2304.000      -17.63224       10.71430    
   2305.000      -18.21758       10.70530    
   2309.000      -17.66007       14.91494    
   2310.000      -17.13339       14.90224    
   2314.000      -15.91392       14.85168    
   2315.000      -15.70542       14.83909    
   2319.000      -15.03929       14.78901    
   2320.000      -14.90123       14.77654    
   2324.000      -14.42043       14.72693    
   2329.000      -13.92930       14.66542    
   2334.000      -13.51664       14.60450    
   2339.000      -13.15794       14.54414    
   2344.000      -12.83918       14.48433    
   2349.000      -12.55155       14.42509    
   2354.000      -12.28905       14.36638    
   2359.000      -12.04746       14.30822    
   2364.000      -11.82363       14.25059    
   2369.000      -11.61519       14.19349    
   2374.000      -11.42026       14.13691    
   2379.000      -11.23736       14.08084    
   2384.000      -11.06527       14.02529    
   2389.000      -10.90302       13.97023    
   2394.000      -10.74977       13.91568    
   2399.000      -10.60486       13.86161    
   2400.000      -10.57681       13.85086    
   2404.000      -10.46768       13.80803    
   2434.000      -9.784998       13.49646    
   2439.000      -9.692221       13.44613    
   2444.000      -9.605075       13.39624    
   2449.000      -9.523550       13.34679    
   2454.000      -9.447677       13.29778    
   2459.000      -9.377565       13.24919    
   2464.000      -9.313403       13.20103    
   2469.000      -9.255463       13.15329    
   2474.000      -9.204151       13.10596    
   2479.000      -9.160028       13.05904    
   2484.000      -9.123878       13.01253    
   2489.000      -9.096794       12.96642    
   2494.000      -9.080338       12.92070    
   2499.000      -9.076793       12.87538    
   2500.000      -9.077911       12.86636    
   2504.000      -9.089654       12.83045    
   2509.000      -9.124594       12.78590    
   2514.000      -9.191660       12.74173    
   2519.000      -9.311273       12.69793    
   2524.000      -9.536001       12.65451    
   2529.000      -10.10505       12.61146    
   2534.000      -10.07569       14.47291    
   2539.000      -9.315393       14.42696    
   2544.000      -8.927536       14.38140    
   2549.000      -8.649334       14.33624    
   2554.000      -8.425249       14.29147    
   2559.000      -8.233850       14.24708    
   2564.000      -8.064596       14.20307    
   2569.000      -7.911468       14.15944    
   2574.000      -7.770727       14.11618    
   2579.000      -7.639854       14.07329    
   2584.000      -7.517093       14.03076    
   2589.000      -7.401159       13.98859    
   2594.000      -7.291067       13.94678    
   2599.000      -7.186069       13.90533    
   2600.000      -7.165626       13.89708    
   2604.000      -7.085554       13.86422    
   2609.000      -6.989048       13.82347    
   2614.000      -6.896139       13.78305    
   2619.000      -6.806505       13.74298    
   2624.000      -6.719854       13.70324    
   2629.000      -6.635954       13.66383    
   2700.000      -5.655754       13.13838    
   2800.000      -4.668425       12.49505    
   2900.000      -3.682396       11.93829    
   3000.000      -2.953542       11.37858    
   3100.000      -2.435093       10.82277    
   3200.000      -2.011164       10.30709    
   3300.000      -1.664134       9.827757    
